Month,Day,Low,High,NormalLow,NormalHigh,RecordLow,LowYr,RecordHigh,HiYear,Precip,RecordPrecip,PrecipYr,date,Record,RecordText,RecordP,CulmPrec,dateInYear,month_name
6,7,53,67,52,69,45,1954,89,1979,0,0.12,2000,2011-06-07,FALSE,NA,FALSE,0.97,158,Jun
2,24,45,52,46,60,35,1955,74,1991,0.31,1.51,1958,2011-02-24,FALSE,NA,FALSE,4.140000000000001,55,Feb
3,10,46,60,47,61,33,1951,78,2004,0.01,1.8,1986,2011-03-10,FALSE,NA,FALSE,0.66,69,Mar
8,16,54,69,56,73,48,1955,86,1960,0,0.01,1941,2011-08-16,FALSE,NA,FALSE,0,228,Aug
8,22,56,67,56,73,49,1955,90,1999,0,0.02,1951,2011-08-22,FALSE,NA,FALSE,0,234,Aug
6,15,53,71,53,70,48,1952,95,1976,0,0.19,1995,2011-06-15,FALSE,NA,FALSE,0.97,166,Jun
10,3,55,66,55,73,42,1954,94,1985,0.16,0.16,2011,2011-10-03,FALSE,NA,TRUE,0.16,276,Oct
3,22,45,58,47,62,39,1957,73,2008,0.04,1.83,1995,2011-03-22,FALSE,NA,FALSE,3.1700000000000004,81,Mar
10,2,57,72,55,73,41,1950,96,1980,0,0.38,1967,2011-10-02,FALSE,NA,FALSE,0,275,Oct
3,31,54,80,47,63,39,1971,80,2011,0,1.67,1982,2011-03-31,TRUE,"Record
 High: 80",FALSE,5.7,90,Mar
10,29,49,74,52,68,42,1954,82,1955,0,0.91,1945,2011-10-29,FALSE,NA,FALSE,1.1800000000000002,302,Oct
3,24,46,52,47,62,38,1948,78,1970,1.48,1.48,2011,2011-03-24,FALSE,NA,TRUE,5.07,83,Mar
11,8,43,61,50,65,42,1953,81,1955,0,1.58,2002,2011-11-08,FALSE,NA,FALSE,0.46,312,Nov
1,23,47,63,45,57,31,1949,71,1948,0,1.3,2000,2011-01-23,FALSE,NA,FALSE,0.6299999999999999,23,Jan
3,9,47,61,47,61,37,1974,75,2004,0,0.91,1995,2011-03-09,FALSE,NA,FALSE,0.65,68,Mar
